MatchID,StadiumID,Stadium,HomeTeam,RNScore,Overs,Wickets,Output
1304047,58324,167,1,95,13.1,3,73
1304047,58324,167,1,95,13.2,3,73
1304047,58324,167,1,96,13.3,3,73
1304047,58324,167,1,97,13.4,3,73
1304047,58324,167,1,98,13.5,3,73
1304047,58324,167,1,98,14,3,73
1304047,58324,167,1,98,14.1,3,73
1304047,58324,167,1,100,14.2,3,73
1304047,58324,167,1,101,14.3,3,73
1304047,58324,167,1,102,14.4,3,73
1304047,58324,167,1,103,14.5,3,73
1304047,58324,167,1,104,15,3,73
1304047,58324,167,1,105,15.1,3,73
1304047,58324,167,1,105,15.2,3,73
1304047,58324,167,1,107,15.3,3,73
1304047,58324,167,1,111,15.4,3,73
1304047,58324,167,1,112,15.5,3,73
1304047,58324,167,1,113,16,3,73
1304047,58324,167,1,114,16.1,3,73
1304047,58324,167,1,114,16.2,3,73
1304047,58324,167,1,120,16.3,3,73
1304047,58324,167,1,121,16.4,3,73
1304047,58324,167,1,122,16.5,3,73
1304047,58324,167,1,122,17,3,73
1304047,58324,167,1,122,17.1,3,73
1304047,58324,167,1,123,17.2,3,73
1304047,58324,167,1,123,17.3,4,73
1304047,58324,167,1,124,17.4,4,73
1304047,58324,167,1,125,17.5,4,73
1304047,58324,167,1,126,18,4,73
1304047,58324,167,1,127,18.1,4,73
1304047,58324,167,1,129,18.2,4,73
1304047,58324,167,1,133,18.3,4,73
1304048,58317,165,0,0,0.1,0,89
1304048,58317,165,0,0,0.2,0,89
1304048,58317,165,0,4,0.3,0,89
1304048,58317,165,0,4,0.4,0,89
1304048,58317,165,0,4,0.5,0,89
1304048,58317,165,0,10,1,0,89
1304048,58317,165,0,11,1.1,0,89
1304048,58317,165,0,11,1.2,0,89
1304048,58317,165,0,11,1.3,0,89
1304048,58317,165,0,12,1.4,0,89
1304048,58317,165,0,16,1.5,0,89
1304048,58317,165,0,16,2,0,89
1304048,58317,165,0,17,2.1,0,89
1304048,58317,165,0,17,2.2,0,89
1304048,58317,165,0,18,2.3,0,89
1304048,58317,165,0,19,2.4,0,89
1304048,58317,165,0,19,2.5,0,89
1304048,58317,165,0,25,3,0,89
1304048,58317,165,0,26,3.1,0,89
1304048,58317,165,0,28,3.2,0,89
1304048,58317,165,0,28,3.3,0,89
1304048,58317,165,0,28,3.4,0,89
1304048,58317,165,0,32,3.5,0,89
1304048,58317,165,0,32,4,0,89
1304048,58317,165,0,36,4.1,0,89
1304048,58317,165,0,36,4.2,0,89
1304048,58317,165,0,42,4.3,0,89
1304048,58317,165,0,42,4.4,0,89
1304048,58317,165,0,43,4.4,0,89
1304048,58317,165,0,44,4.5,0,89
1304048,58317,165,0,48,5,0,89
